"","X.1","X","UNITID","INSTNM","COMP","STABBR","SECTOR","ICLEVEL","CONTROL","HLOFFER","UGOFFER","GROFFER","HDEGOFR1","DEGGRANT","HBCU","CCENRPRF","CCSIZSET","CARNEGIE","LANDGRNT","INSTSIZE","LONGITUD","LATITUDE","APPLCN","APPLCNM","APPLCNW","ADMSSN","ADMSSNM","ADMSSNW","ENRLT","ENRLM","ENRLW","ENRLFT","ENRLFTM","ENRLFTW","ENRLPT","ENRLPTM","ENRLPTW","SATNUM","SATPCT","ACTNUM","ACTPCT","SATVR25","SATVR75","SATMT25","SATMT75","SATWR25","SATWR75","ACTCM25","ACTCM75","ACTEN25","ACTEN75","ACTMT25","ACTMT75","ACTWR25","ACTWR75","GRCOHRT","UGENTERN","PGRCOHRT","RRFTCT","RRFTCTA","RET_NMF","RET_PCF","RRPTCT","RRPTCTA","RET_NMP","RET_PCP","STUFACR","mn_earn_wne_p10","mn_earn_wne_p6","mn_earn_wne_p8","md_earn_wne_p10","md_earn_wne_p6","md_earn_wne_p8","sd_earn_wne_p10","sd_earn_wne_p6","sd_earn_wne_p8","SELECT","myrank"
"1",1,246,134097,"Florida State University",NA,"FL",1,1,1,9,1,1,11,1,2,4,15,15,2,5,-84.294801,30.4421,30266,12286,17980,16763,6719,10044,6021,2502,3519,5969,2482,3487,52,20,32,2541,42,3480,58,570,640,560,640,560,640,26,29,NA,NA,NA,NA,NA,NA,5944,8652,69,5980,5979,5516,92,52,52,41,79,26,50200,37000,44700,44000,34100,40000,39200,31700,38600,0.553855812,0.62593633
"2",2,292,139940,"Georgia State University",1,"GA",1,1,1,9,1,1,11,1,2,4,15,15,2,5,-84.38667,33.7527,12858,4988,7870,7643,3003,4640,3701,1528,2173,3641,1496,2145,60,32,28,3061,83,1744,47,480,590,480,590,NA,NA,20,24,20,25,19,25,NA,NA,3640,7166,51,3388,3388,2750,81,81,81,46,57,21,45900,35200,40500,41500,32400,37500,32800,23500,27400,0.594415928,0.529494382
"3",3,293,139959,"University of Georgia",2,"GA",1,1,1,9,1,1,11,1,2,4,16,15,1,5,-83.374049,33.956428,20918,8432,12486,11655,4490,7165,5243,2005,3238,5230,1996,3234,13,9,4,4331,83,3423,65,570,660,570,670,570,660,26,30,26,32,25,29,7,8,5240,6764,77,5218,5218,4913,94,18,18,16,89,18,54000,41000,48800,46500,36900,42500,44400,36500,46100,0.557175638,0.693586142
"4",4,420,151324,"Indiana State University",1,"IN",1,1,1,9,1,1,11,1,2,4,13,16,2,4,-87.407085,39.46873,11258,4663,6595,9292,3671,5621,2739,1178,1561,2735,1175,1560,4,3,1,2092,76,1151,42,410,510,400,510,390,480,16,22,15,22,16,23,6,8,2735,3784,72,2653,2652,1710,64,7,7,3,43,20,38600,32200,35900,36000,30000,33100,24400,19800,22800,0.825368627,0.269662921
"5",5,467,153603,"Iowa State University",1,"IA",1,1,1,9,1,1,11,1,2,4,16,15,1,5,-93.648353,42.026368,18399,9843,8556,15990,8438,7552,6041,3379,2662,6010,3365,2645,31,14,17,487,8,5523,91,460,630,530,680,NA,NA,21,29,20,29,21,29,NA,NA,6016,8412,72,6063,6063,5238,86,24,24,19,79,19,52500,40900,47500,47200,37700,43500,35600,25800,30500,0.869068971,0.707631086
"6",6,500,155399,"Kansas State University",1,"KS",1,1,1,9,1,1,11,1,2,4,16,15,1,5,-96.581077,39.188616,9614,4588,5026,9127,4325,4802,3757,1815,1942,3691,1776,1915,66,39,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3691,5624,66,3754,3754,3125,83,65,65,35,54,19,48600,37800,43300,43300,35200,39600,34200,26400,27700,0.949344706,0.603698502
"7",7,591,163286,"University of Maryland-College Park",2,"MD",1,1,1,9,1,1,11,1,2,4,16,15,1,5,-76.939704,38.988607,26340,12914,13426,12624,6364,6260,4155,2274,1881,4148,2271,1877,7,3,4,3667,88,NA,NA,590,690,620,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4148,6377,65,4011,4011,3839,96,9,9,6,67,18,66600,48000,58700,59100,45600,54400,54300,34500,39400,0.479271071,0.856741573
"8",8,711,171100,"Michigan State University",1,"MI",1,1,1,9,1,1,11,1,2,4,16,15,1,5,-84.473639,42.72476,33211,16397,16814,21950,10257,11693,8055,3841,4214,7890,3751,4139,165,90,75,1179,15,6503,81,430,580,540,690,460,570,23,28,23,29,23,28,8,9,7890,9998,79,7924,7924,7260,92,137,137,82,60,17,58100,42100,51900,49800,38800,46800,48200,33300,38200,0.660925597,0.762640449
"9",9,823,179566,"Missouri State University-Springfield",1,"MO",1,1,1,9,1,1,13,1,2,4,16,21,2,5,-93.276821,37.197983,8044,3055,4989,6840,2548,4292,2801,1103,1698,2757,1079,1678,44,24,20,80,3,2772,97,480,610,470,600,NA,NA,21,26,21,27,20,26,NA,NA,2826,6370,44,2699,2699,2031,75,51,51,15,29,20,41500,32500,37300,37200,30000,34100,27100,22400,23000,0.850323222,0.31835206
"10",10,1209,204796,"Ohio State University-Main Campus",2,"OH",1,1,1,9,1,1,11,1,2,4,15,15,1,5,-83.009001,39.998389,36788,18622,18166,19484,9585,9899,7079,3547,3532,7070,3542,3528,9,5,4,2573,36,5900,83,540,660,620,730,560,660,27,31,26,32,26,31,8,9,7070,10392,68,7121,7121,6670,94,9,9,4,44,18,48600,37500,43800,42600,33800,38900,38200,29400,32500,0.529629227,0.577247191
