GeoFips,GeoName,LineCode,Description,2015Q1,2015Q2,2015Q3,2015Q4
0,United States,1,Personal income,15064430057,15264645239,15422445980,15544913624
0,United States,2,"Population (midperiod, persons)",320531711,321100105,321779639,322457185
0,United States,3,Per capita personal income (dollars),46998,47539,47929,48208
1000,Alabama,1,Personal income,187235330,188372335,190271274,191548568
1000,Alabama,2,"Population (midperiod, persons)",4855113,4857334,4861207,4865033
1000,Alabama,3,Per capita personal income (dollars),38565,38781,39141,39373
2000,Alaska,1,Personal income,41246063,41429288,41231694,41342581
2000,Alaska,2,"Population (midperiod, persons)",738017,738252,738680,739105
2000,Alaska,3,Per capita personal income (dollars),55888,56118,55818,55936
4000,Arizona,1,Personal income,262240548,265918534,268165499,270699400
4000,Arizona,2,"Population (midperiod, persons)",6792241,6815643,6841754,6867949
4000,Arizona,3,Per capita personal income (dollars),38609,39016,39195,39415
5000,Arkansas,1,Personal income,114384646,116025628,117468000,118062935
5000,Arkansas,2,"Population (midperiod, persons)",2974447,2976714,2980020,2983291
5000,Arkansas,3,Per capita personal income (dollars),38456,38978,39419,39575
6000,California,1,Personal income,2011252161,2056578090,2078199347,2099318967
6000,California,2,"Population (midperiod, persons)",39020262,39101001,39194625,39288180
6000,California,3,Per capita personal income (dollars),51544,52597,53023,53434
8000,Colorado,1,Personal income,270599609,274301505,276378394,279149667
8000,Colorado,2,"Population (midperiod, persons)",5419447,5443802,5470095,5496385
8000,Colorado,3,Per capita personal income (dollars),49931,50388,50525,50788
9000,Connecticut,1,Personal income,237056418,240593290,241310999,243116723
9000,Connecticut,2,"Population (midperiod, persons)",3592895,3591282,3590856,3590349
9000,Connecticut,3,Per capita personal income (dollars),65979,66994,67202,67714
10000,Delaware,1,Personal income,44435174,45091335,45256337,45589843
10000,Delaware,2,"Population (midperiod, persons)",942395,944695,947333,950007
10000,Delaware,3,Per capita personal income (dollars),47151,47731,47772,47989
11000,District of Columbia,1,Personal income,47263601,47854834,48334723,48827931
11000,District of Columbia,2,"Population (midperiod, persons)",667700,670673,673896,677144
11000,District of Columbia,3,Per capita personal income (dollars),70786,71353,71724,72109
12000,Florida,1,Personal income,877712039,889715064,901177487,908153626
12000,Florida,2,"Population (midperiod, persons)",20138919,20225555,20321442,20418177
12000,Florida,3,Per capita personal income (dollars),43583,43990,44346,44478
13000,Georgia,1,Personal income,407109310,411530088,417304915,421152320
13000,Georgia,2,"Population (midperiod, persons)",10172223,10199914,10230942,10261925
13000,Georgia,3,Per capita personal income (dollars),40022,40346,40789,41040
